Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice","1972","1972","ha","9629708","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice","1972","1972","hg/ha","15716","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","1972","1972","ha","5797000","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","15","Wheat","1972","1972","hg/ha","11887","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1735","Vegetables Primary","1972","1972","ha","122503","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1735","Vegetables Primary","1972","1972","hg/ha","116702","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice","1972","1972","ha","1479547","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","27","Rice","1972","1972","hg/ha","23624","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1973","1973","ha","19463600","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","15","Wheat","1973","1973","hg/ha","12708","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1735","Vegetables Primary","1973","1973","ha","3761700","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1973","1973","hg/ha","76190","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","27","Rice","1973","1973","ha","38285008","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","27","Rice","1973","1973","hg/ha","17259","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","15","Wheat","1973","1973","ha","120132","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1973","1973","hg/ha","7572","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","1735","Vegetables Primary","1973","1973","ha","149805","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1973","1973","hg/ha","59088","E","Estimated value"
